Name,Divisions,Latitude,Longitude,Address,Normal_site,Auto_site,Glamping,Caravan,Restroom,Shower_room,Sink,Homepage
한마음오토캠핑장 ,일반야영장,36.4232666,126.3608963,충청남도 태안군 고남면 장곡리 ,15,0,0,0,2,3,2,http://1maum.anmyondo.kr/
별빛마을,일반야영장,35.694051,128.971636,"경북 청도군 운문면 오진리 1007 외2 (1007-1 , 998-12)",15,0,0,0,1,1,1,https://www.ansanstar.net/
명돈골 캠핑장 ,"일반야영장,자동차야영장",37.9674803,127.4588927,경기 가평군 북면 논남기길 19-36,15,0,0,0,4,2,12,http://www.mdgolcamp.co.kr/
공릉관광지 캠핑장 ,"자동차야영장,카라반",37.7498499,126.8335561,경기도 파주시 조리읍 장곡로 218 ,16,0,0,10,2,2,2,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=306&viewType=read01
녹색 오토캠핑장,일반야영장,36.6701762,127.9867937,경상북도 문경시 가은읍 대야로 1560 ,16,0,0,0,2,2,2,https://greenautocamp.modoo.at/
농업회사법인 주식회사 봉산권역 (봉산극기체험권역캠핑장),일반야영장,35.9300896,129.4821544,경상북도 포항시 남구 장기면 창지리 ,16,0,0,0,2,2,1,http://www.bongsan.kr/html/index.php
달자캠핑장 ,일반야영장,36.0927391,127.9073245,충청북도 영동군 상촌면 대해길 239-58 ,16,0,0,0,8,2,1,https://cafe.naver.com/daljacamping.cafe
비학농원캠핑장 ,자동차야영장,37.8911692,126.9144968,경기도 파주시 만월로613번길 217-0 ,16,0,0,0,4,2,2,http://xn--980b34vutgmyaj9wxnkrb.kr/
진경원민박캠핑장 ,일반야영장,36.817898,126.6811,충청남도 당진시 순성면 양유리 ,16,0,0,0,2,2,2,https://booking.naver.com/booking/3/bizes/262386
포천이동 생태공원 캠핑장 ,일반야영장,38.0413855,127.3686896,경기도 포천시 이동면 성장로,16,0,0,0,1,1,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=3286&viewType=read01
스톤밸리캠핑장,일반야영장,37.8589316,127.0814725,경기 양주시 칠봉산로228번길 126-5 (봉양동),16,0,0,0,6,4,1,https://cafe.naver.com/bongyanstonevalley
더엠캠프(엠글램핑),"일반야영장,글램핑",37.632977,127.475518,경기도 가평군 설악면 천안리 714-1번지 외 8필지,16,0,3,0,1,1,8,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=7020
계명산 자연휴양림 ,일반야영장,36.4131868,128.9472567,경상북도 안동시 길안면 고란리 ,17,0,0,0,0,0,0,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030042
고인돌 펜션/캠핑장 (고인돌 오토캠핑장),자동차야영장,37.7524155,128.0009542,강원도 홍천군 화촌면 구룡령로 578-10 ,17,0,0,0,1,1,2,http://dhc34.co.kr/
국립낙안민속자연휴양림야영장,일반야영장,34.9140201,127.3539854,전라남도 순천시 낙안면 민속마을길 1600 ,17,0,0,0,2,1,1,https://www.foresttrip.go.kr/pot/rm/fa/selectCmpgrArmpListView.do?hmpgId=0200&menuId=002002002
대기리산촌체험학교야영장,자동차야영장,37.5879453,128.7770882,강원도 강릉시 왕산면 대기리 953번지,17,0,0,0,1,1,2,http://www.daegiri.com/
산디마을 생태공원 캠핑장 ,자동차야영장,36.3969703,127.4385337,대전광역시 대덕구 장동 685-1 ,17,0,0,0,2,1,2,https://www.daedeok.go.kr/dpt/goContents.do?link=/dpt/dpt06/DPT06030501&menuId=DPT06030501
섬지캠핑장,일반야영장,35.2036854,127.5895058,전라남도 구례군 토지면 외곡리 963-4,17,0,0,0,1,3,1,https://seomji.modoo.at/
용대 자연휴양림 캠핑장,자동차야영장,38.2332334,128.3490597,강원도 인제군 북면 용대리 ,17,0,0,0,1,1,1,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0102
추억촌,자동차야영장,37.7173613,128.8031974,강원도 강릉시 성산면 대관령옛길 10 ,17,0,0,0,1,1,2,https://cafe.naver.com/chueogchun/
코끼리관광농원 ,일반야영장,35.7635713,128.2489,경상북도 고령군 덕곡면 반성리 ,17,0,0,0,1,1,1,http://kokkirips.com/
팔공산금화자연휴양림 ,"일반야영장,카라반",36.0517597,128.5637769,경상북도 칠곡군 가산면 금화리 ,17,0,0,6,2,0,1,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030006
곤달비캠프 ,일반야영장,35.7324672,129.0006737,경북 경주시 산내면 하신길 58-31,17,0,0,0,2,2,1,https://cafe.naver.com/gondalbicamp
개암벌 용소 관광농원 캠핑장,자동차야영장,37.8607003,128.0711731,강원도 홍천군 두촌면 괘석리 ,18,0,0,0,3,1,3,http://www.xn--h49ayqtb69zcsqp7gt5g8zcfk.com/
거북바위 야영장,자동차야영장,37.569537,127.4298365,경기도 양평군 서종면 서후리 234-1 번지,18,0,0,0,1,1,1,http://www.turtlecamp.co.kr/
김삿갓휴게소 체험 캠핑장,자동차야영장,37.1213937,128.6100905,강원도 영월군 김삿갓면 와석리 327-2 ,18,0,0,0,2,5,3,https://ksgcamping.modoo.at/
반디하우스캠핑장,자동차야영장,37.8763863,128.2714774,강원도 인제군 상남면 내린천로 2355 ,18,0,0,0,1,1,1,http://www.bandihouse.com/default/
부례관광지,"일반야영장,카라반",35.6728733,128.3602522,경북 고령군 우곡면 우곡강변길 672,18,0,0,10,6,2,2,https://mall.goryeong.go.kr/BuryePlace
